track_id,fase,inicio,fim
19790349,intensification,1979-05-02 15:00:00,1979-05-04 09:00:00
19790349,residual,1979-05-04 12:00:00,1979-05-04 21:00:00
19790361,decay,1979-05-05 15:00:00,1979-05-06 09:00:00
19790361,intensification,1979-05-06 12:00:00,1979-05-06 21:00:00
19790368,decay,1979-05-07 12:00:00,1979-05-09 00:00:00
19790369,incipient,1979-05-07 15:00:00,1979-05-07 18:00:00
19790369,intensification,1979-05-07 21:00:00,1979-05-09 06:00:00
19790369,mature,1979-05-09 09:00:00,1979-05-09 18:00:00
19790369,decay,1979-05-09 21:00:00,1979-05-10 18:00:00
19790369,residual,1979-05-10 21:00:00,1979-05-14 09:00:00
19790384,intensification,1979-05-13 03:00:00,1979-05-13 18:00:00
19790384,mature,1979-05-13 21:00:00,1979-05-14 03:00:00
19790384,decay,1979-05-14 06:00:00,1979-05-16 09:00:00
19790385,incipient,1979-05-13 15:00:00,1979-05-13 18:00:00
19790385,intensification,1979-05-13 21:00:00,1979-05-14 12:00:00
19790385,mature,1979-05-14 15:00:00,1979-05-14 21:00:00
19790385,decay,1979-05-15 00:00:00,1979-05-16 15:00:00
19790391,incipient,1979-05-15 00:00:00,1979-05-15 03:00:00
19790391,intensification,1979-05-15 06:00:00,1979-05-17 06:00:00
19790391,mature,1979-05-17 09:00:00,1979-05-18 06:00:00
19790391,decay,1979-05-18 09:00:00,1979-05-23 00:00:00
19790394,incipient,1979-05-15 12:00:00,1979-05-15 12:00:00
19790394,intensification,1979-05-15 15:00:00,1979-05-16 09:00:00
19790394,mature,1979-05-16 12:00:00,1979-05-16 21:00:00
19790394,decay,1979-05-17 00:00:00,1979-05-18 21:00:00
19790406,incipient,1979-05-19 09:00:00,1979-05-19 15:00:00
19790406,intensification,1979-05-19 18:00:00,1979-05-21 09:00:00
19790406,mature,1979-05-21 12:00:00,1979-05-22 06:00:00
19790406,decay,1979-05-22 09:00:00,1979-05-25 21:00:00
19790407,intensification,1979-05-19 12:00:00,1979-05-20 03:00:00
19790407,decay,1979-05-20 06:00:00,1979-05-20 09:00:00
19790410,intensification,1979-05-21 03:00:00,1979-05-21 21:00:00
19790410,decay,1979-05-22 00:00:00,1979-05-22 15:00:00
19790414,incipient,1979-05-22 12:00:00,1979-05-22 21:00:00
19790414,intensification,1979-05-23 00:00:00,1979-05-24 09:00:00
19790414,mature,1979-05-24 12:00:00,1979-05-25 03:00:00
