Latitude,Longitude,Limiar_Mediana_ms,Limiar_Q90_ms,Limiar_Q95_ms,Limiar_Q99_ms,Limiar_Maximo_ms
-53.25,-73.5,10.578653,15.088537,16.231731,18.123615,23.508009
-53.25,-73.25,8.751258,12.783046,13.763764,15.430979,19.43833
-53.25,-73.0,5.837242,9.004838,9.761996,11.096045,13.009301
-53.25,-72.75,4.256877,7.0686474,7.748166,8.952984,10.952831
-53.25,-72.5,3.4270859,6.2379284,6.8946366,8.099883,10.216428
-53.25,-72.25,3.9383702,6.95964,7.7199078,8.886736,11.629463
-53.25,-72.0,4.749749,8.283298,9.2058735,10.646989,13.815193
-53.25,-71.75,4.7430096,8.225298,9.088774,10.424433,13.757854
-53.25,-71.5,4.8397546,8.299062,9.089073,10.586887,14.217944
-53.25,-71.25,5.2939014,8.688586,9.534279,10.989236,15.248997
-53.25,-71.0,5.900079,9.324994,10.270678,11.636668,16.238667
-53.25,-70.75,6.9148006,10.509036,11.389008,13.199119,17.227009
-53.25,-70.5,6.941433,10.552744,11.439423,13.248548,17.139393
-53.25,-70.25,6.296381,9.843378,10.702669,12.577721,16.722961
-53.25,-70.0,6.2714195,9.918197,10.878505,12.652628,17.393524
-53.25,-69.75,6.44032,10.33199,11.29878,13.178717,18.324778
-53.25,-69.5,6.600786,10.745529,11.757864,13.601254,19.24407
-53.25,-69.25,6.6820984,11.066344,12.185474,14.001588,20.035461
-53.25,-69.0,6.6413164,11.112991,12.291164,14.153643,20.299969
-53.25,-68.75,6.940575,11.4777975,12.639075,14.547576,20.80346
-53.25,-68.5,7.808848,12.386065,13.53519,15.526537,21.66393
-53.25,-68.25,8.445945,12.89985,14.020882,15.969391,21.797504
-53.25,-68.0,8.966457,13.238498,14.38454,16.343927,21.438166
-53.25,-67.75,9.22015,13.492861,14.597665,16.52127,21.012852
-53.25,-67.5,9.427669,13.740509,14.810501,16.832676,20.582403
-53.25,-67.25,9.445749,13.786219,14.901803,16.899233,20.502222
-53.25,-67.0,9.493011,13.904912,15.055315,17.004663,20.703266
-53.25,-66.75,9.580677,14.06054,15.187634,17.158085,20.782816
-53.25,-66.5,9.635536,14.16473,15.281664,17.203514,20.855177
-53.25,-66.25,9.628483,14.2128525,15.350227,17.232536,20.889042
-53.25,-66.0,9.662888,14.2529335,15.375637,17.261961,20.772621
-53.25,-65.75,9.650225,14.310443,15.416004,17.354687,20.774057
-53.25,-65.5,9.65456,14.372156,15.480034,17.430058,21.036585
-53.25,-65.25,9.679975,14.438587,15.605863,17.564535,21.325535
-53.25,-65.0,9.631203,14.43861,15.577668,17.52821,21.320278
-53.25,-64.75,9.5751095,14.440074,15.583082,17.576897,21.348015
-53.25,-64.5,9.573406,14.453494,15.602651,17.538387,21.52738
-53.25,-64.25,9.544754,14.449836,15.681896,17.557598,21.471033
-53.25,-64.0,9.469136,14.394691,15.673689,17.579903,21.06315
-53.25,-63.75,9.445007,14.388295,15.651974,17.538698,20.792562
-53.25,-63.5,9.4340725,14.354293,15.650302,17.557835,21.102043
-53.25,-63.25,9.378866,14.2749405,15.599552,17.56063,21.323328
-53.25,-63.0,9.359767,14.256197,15.527019,17.435406,21.52715
-53.25,-62.75,9.368875,14.256782,15.566626,17.38877,21.667362
-53.25,-62.5,9.353698,14.251298,15.587931,17.464283,21.81897
-53.25,-62.25,9.346631,14.206015,15.469944,17.417257,22.003275
-53.25,-62.0,9.335407,14.180294,15.418352,17.357822,22.264868
-53.25,-61.75,9.396051,14.186417,15.394295,17.43875,22.684107
-53.25,-61.5,9.386307,14.122503,15.377343,17.456768,22.977068
-53.25,-61.25,9.377657,14.065429,15.315124,17.509838,23.18935
-53.25,-61.0,9.397211,14.040963,15.33268,17.38144,23.237404
-53.25,-60.75,9.46623,14.050983,15.3150015,17.409992,23.228292
-53.25,-60.5,9.479057,14.095573,15.299461,17.50434,23.307676
-53.25,-60.25,9.509171,14.0580225,15.29056,17.595585,23.418657
-53.25,-60.0,9.534457,14.0470085,15.240547,17.543692,23.71584
-53.25,-59.75,9.550476,14.033168,15.280603,17.580988,23.965967
-53.25,-59.5,9.542815,14.001853,15.242545,17.58058,24.1465
-53.25,-59.25,9.55409,13.969263,15.2249155,17.576593,24.092014
-53.25,-59.0,9.553217,13.979057,15.195111,17.515701,23.877123
-53.25,-58.75,9.57169,13.928084,15.180213,17.443996,23.273342
-53.25,-58.5,9.576045,13.88419,15.197512,17.415958,23.010015
-53.25,-58.25,9.565698,13.834627,15.136081,17.461948,22.771809
-53.25,-58.0,9.562386,13.837399,15.109053,17.530172,23.009731
-53.25,-57.75,9.609669,13.920248,15.252996,17.590673,23.21413
-53.25,-57.5,9.619902,13.967641,15.247635,17.663197,22.738165
-53.25,-57.25,9.582912,13.919611,15.189763,17.70359,22.13052
-53.25,-57.0,9.550078,13.883071,15.097653,17.613312,22.025492
-53.25,-56.75,9.522808,13.857035,15.088935,17.565178,22.035812
-53.25,-56.5,9.5414505,13.917001,15.129727,17.607578,22.393642
-53.25,-56.25,9.590822,13.98638,15.170976,17.707779,23.066626
-53.25,-56.0,9.561724,13.980906,15.193653,17.642086,22.836952
-53.25,-55.75,9.571659,13.947458,15.210294,17.581236,22.998276
-53.25,-55.5,9.5641165,13.962333,15.210176,17.693998,22.893896
-53.25,-55.25,9.561338,13.9874325,15.173502,17.676811,22.604788
-53.25,-55.0,9.553598,13.974993,15.165367,17.737993,21.860403
-53.25,-54.75,9.56668,13.958226,15.170314,17.652943,21.610655
-53.25,-54.5,9.607436,13.963308,15.217772,17.620186,21.67361
-53.25,-54.25,9.656628,13.971288,15.216806,17.576357,22.019346
-53.25,-54.0,9.688016,13.9735365,15.262958,17.622904,22.375778
-53.25,-53.75,9.680643,14.017492,15.28758,17.685822,22.011387
-53.25,-53.5,9.694201,14.0478525,15.324832,17.712717,22.204834
-53.25,-53.25,9.703607,14.0502825,15.285676,17.824404,22.33667
-53.25,-53.0,9.73239,14.083416,15.332737,17.789377,22.413353
-53.25,-52.75,9.7128105,14.105114,15.282346,17.84068,22.390623
-53.25,-52.5,9.713876,14.090128,15.304855,17.789444,22.417343
-53.25,-52.25,9.70298,14.110419,15.333051,17.760862,22.878357
-53.25,-52.0,9.70105,14.120862,15.363902,17.82321,23.284431
-53.25,-51.75,9.707024,14.140762,15.354949,17.871181,23.718142
-53.25,-51.5,9.755081,14.157295,15.372389,17.830875,24.25407
-53.25,-51.25,9.77928,14.175879,15.394706,17.830263,24.577877
-53.25,-51.0,9.781591,14.1986265,15.392167,17.774944,23.94341
-53.25,-50.75,9.818201,14.211534,15.44393,17.72482,23.127813
-53.25,-50.5,9.820017,14.216618,15.432034,17.784487,22.990055
-53.25,-50.25,9.806011,14.194257,15.413446,17.807436,23.224072
-53.25,-50.0,9.802376,14.188184,15.441216,17.853096,23.336288
-53.25,-49.75,9.808191,14.199658,15.439275,17.906721,22.661253
-53.25,-49.5,9.826191,14.254069,15.50692,17.875181,22.176834
