phase,quad_type,quadrante,nivel,taxa_contagem_media,taxa_acumulada_media,n_ciclones
mature,fixed,SE,q99,0.35466587972981833,5.9928861966156814,17
mature,fixed,SW,15_6,0.17647058823529413,3.3792784022774924,17
mature,fixed,SW,20_0,0.04575163398692811,0.949039758420458,17
mature,fixed,SW,25_0,0.0,0.0,17
mature,fixed,SW,q90,0.5145353367859762,7.882361789701881,17
mature,fixed,SW,q95,0.4046375619265645,6.294009510480201,17
mature,fixed,SW,q99,0.2868712702472293,4.783033797748882,17
mature,rotated,NE,15_6,0.2524762818880466,4.6402846712048404,17
mature,rotated,NE,20_0,0.036153389094565565,0.7572316745936073,17
mature,rotated,NE,25_0,0.0,0.0,17
mature,rotated,NE,q90,0.49938282802732936,8.017840015034883,17
mature,rotated,NE,q95,0.3811794911539157,6.230303124567563,17
mature,rotated,NE,q99,0.3088858285789232,5.170764405329148,17
mature,rotated,NW,15_6,0.37783380302561886,6.834132282576753,17
mature,rotated,NW,20_0,0.058823529411764705,1.2957937390196559,17
mature,rotated,NW,25_0,0.0,0.0,17
mature,rotated,NW,q90,0.7544194935499283,11.928150790676897,17
mature,rotated,NW,q95,0.6224044497701787,10.048359249830382,17
mature,rotated,NW,q99,0.3138107416879795,5.534797878598826,17
mature,rotated,SE,15_6,0.13956887102667156,2.5169614139263676,17
mature,rotated,SE,20_0,0.0065359477124183,0.13361791224261513,17
mature,rotated,SE,25_0,0.0,0.0,17
mature,rotated,SE,q90,0.5120940440633536,7.409804923627752,17
mature,rotated,SE,q95,0.4093949528732137,5.935439465457292,17
mature,rotated,SE,q99,0.29250598790240734,4.119927620954364,17
mature,rotated,SW,15_6,0.2430553248967571,4.335302677490942,17
mature,rotated,SW,20_0,0.058823529411764705,1.3099789151958392,17
mature,rotated,SW,25_0,0.0,0.0,17
mature,rotated,SW,q90,0.7203776615541322,10.709321905618808,17
mature,rotated,SW,q95,0.5127090301003345,7.826835771822804,17
mature,rotated,SW,q99,0.2920716112531969,4.845266776515115,17
