phase,quad_type,cell_x,cell_y,nivel,n_ciclones_contrib,n_ciclones,taxa_contagem_media,taxa_acumulada_media,cell_center_x_km,cell_center_y_km
decay,fixed,-10,1,15_6,265,1699,0.02941988830656479,0.4972101954430439,-950.0,150.0
decay,fixed,-10,1,20_0,16,1699,0.0005788087795555026,0.012155694746839923,-950.0,150.0
decay,fixed,-10,1,b90,1021,1699,0.15571136199411387,1.9017126109719582,-950.0,150.0
decay,fixed,-10,1,b95,717,1699,0.08469208853571276,1.0881717079976745,-950.0,150.0
decay,fixed,-10,1,b99,418,1699,0.03285738759680066,0.43750086544531974,-950.0,150.0
decay,fixed,-10,1,q90,674,1699,0.10554220867656434,1.3378210826011654,-950.0,150.0
decay,fixed,-10,1,q95,418,1699,0.053540268605631,0.7068247840747782,-950.0,150.0
decay,fixed,-10,1,q99,104,1699,0.011050812764577813,0.14309363044455803,-950.0,150.0
decay,fixed,-10,2,15_6,299,1699,0.034274607777777265,0.5796057253361119,-950.0,250.0
decay,fixed,-10,2,20_0,15,1699,0.0005481557641216837,0.011402732515487487,-950.0,250.0
decay,fixed,-10,2,b90,1036,1699,0.1646307854238615,2.0186963551308437,-950.0,250.0
decay,fixed,-10,2,b95,730,1699,0.09121052037232516,1.166596961557995,-950.0,250.0
decay,fixed,-10,2,b99,445,1699,0.03690701472736023,0.4900028272134004,-950.0,250.0
decay,fixed,-10,2,q90,692,1699,0.11251474445171963,1.431673070412149,-950.0,250.0
decay,fixed,-10,2,q95,445,1699,0.05868014288129317,0.7665519264841407,-950.0,250.0
decay,fixed,-10,2,q99,128,1699,0.014317963597355744,0.19759803609912216,-950.0,250.0
decay,fixed,-10,3,15_6,303,1699,0.03596233631778179,0.6108529189651244,-950.0,350.0
decay,fixed,-10,3,20_0,13,1699,0.0005314035728025145,0.011086937412023655,-950.0,350.0
decay,fixed,-10,3,b90,1057,1699,0.17193650337828967,2.098986977017305,-950.0,350.0
decay,fixed,-10,3,b95,767,1699,0.09553492738582081,1.2213574099136337,-950.0,350.0
decay,fixed,-10,3,b99,453,1699,0.038676893846898194,0.5149627774016189,-950.0,350.0
decay,fixed,-10,3,q90,723,1699,0.11752063587405685,1.4899726180809216,-950.0,350.0
decay,fixed,-10,3,q95,453,1699,0.061844694218511964,0.8128564229808763,-950.0,350.0
decay,fixed,-10,3,q99,132,1699,0.012977407016632634,0.18121104756215536,-950.0,350.0
decay,fixed,-10,4,15_6,311,1699,0.037375538239688026,0.6344486063230391,-950.0,450.0
decay,fixed,-10,4,20_0,16,1699,0.0012867825484031289,0.026578394841576255,-950.0,450.0
decay,fixed,-10,4,b90,1077,1699,0.1781635156187395,2.155349555242308,-950.0,450.0
decay,fixed,-10,4,b95,798,1699,0.09903888122630199,1.2578842914040533,-950.0,450.0
decay,fixed,-10,4,b99,477,1699,0.038820751696874004,0.5173484142489458,-950.0,450.0
decay,fixed,-10,4,q90,754,1699,0.1219485447479443,1.5296775762838954,-950.0,450.0
decay,fixed,-10,4,q95,477,1699,0.0640651600206082,0.8380876060331799,-950.0,450.0
decay,fixed,-10,4,q99,137,1699,0.012509902935782566,0.1760704314966779,-950.0,450.0
decay,fixed,-10,5,15_6,297,1699,0.036059485856104384,0.6110898473569449,-950.0,550.0
decay,fixed,-10,5,20_0,16,1699,0.001225193832824574,0.025002680384486525,-950.0,550.0
decay,fixed,-10,5,b90,1080,1699,0.17004114290950112,2.0648240879010533,-950.0,550.0
decay,fixed,-10,5,b95,780,1699,0.09366282312837325,1.1975721599785134,-950.0,550.0
decay,fixed,-10,5,b99,445,1699,0.035480022634077416,0.4805201008772805,-950.0,550.0
decay,fixed,-10,5,q90,746,1699,0.1162214252805334,1.4648064654284103,-950.0,550.0
decay,fixed,-10,5,q95,445,1699,0.059130374730066895,0.7836232386418442,-950.0,550.0
decay,fixed,-10,5,q99,121,1699,0.011051453148900922,0.1584861079970453,-950.0,550.0
decay,fixed,-10,6,15_6,254,1699,0.02430639806702062,0.40998655664194744,-950.0,650.0
decay,fixed,-10,6,20_0,10,1699,0.00031254167743427144,0.0065107626772418796,-950.0,650.0
decay,fixed,-10,6,b90,938,1699,0.10281652962240793,1.308447021978411,-950.0,650.0
decay,fixed,-10,6,b95,648,1699,0.053328430706198436,0.7175655249381939,-950.0,650.0
decay,fixed,-10,6,b99,357,1699,0.018886911757795628,0.2705344184106267,-950.0,650.0
decay,fixed,-10,6,q90,608,1699,0.06719141547212859,0.8925706993066721,-950.0,650.0
decay,fixed,-10,6,q95,357,1699,0.03290789204307537,0.45633499064273897,-950.0,650.0
decay,fixed,-10,6,q99,83,1699,0.005135342210439096,0.08178405159338287,-950.0,650.0
decay,fixed,-9,-8,15_6,156,1699,0.020232223129057567,0.34380004141296416,-850.0,-750.0
decay,fixed,-9,-8,20_0,10,1699,0.0005343490411431937,0.011123839205771034,-850.0,-750.0
decay,fixed,-9,-8,b90,735,1699,0.0933210663138937,1.2764244494088168,-850.0,-750.0
decay,fixed,-9,-8,b95,451,1699,0.04446590783214664,0.6579936225386549,-850.0,-750.0
decay,fixed,-9,-8,b99,205,1699,0.016472989489557,0.26368219693164024,-850.0,-750.0
decay,fixed,-9,-8,q90,413,1699,0.056703977476339464,0.8209363092462788,-850.0,-750.0
decay,fixed,-9,-8,q95,205,1699,0.027260671328829148,0.42379210072870604,-850.0,-750.0
decay,fixed,-9,-8,q99,44,1699,0.005207264738125156,0.08878699623094549,-850.0,-750.0
decay,fixed,-9,-7,15_6,192,1699,0.025660897630412793,0.4360999512565964,-850.0,-650.0
decay,fixed,-9,-7,20_0,8,1699,0.0004192129058312018,0.008865222562674713,-850.0,-650.0
decay,fixed,-9,-7,b90,819,1699,0.11629107774120363,1.5725355400181178,-850.0,-650.0
decay,fixed,-9,-7,b95,504,1699,0.058944875655825776,0.8576105808795832,-850.0,-650.0
decay,fixed,-9,-7,b99,257,1699,0.02208451032643899,0.3479831119519662,-850.0,-650.0
decay,fixed,-9,-7,q90,468,1699,0.07372135493256018,1.0541436989074358,-850.0,-650.0
decay,fixed,-9,-7,q95,257,1699,0.03675342011994269,0.5593586036537479,-850.0,-650.0
decay,fixed,-9,-7,q99,56,1699,0.0075069525425893084,0.12878591865262418,-850.0,-650.0
decay,fixed,-9,-6,15_6,193,1699,0.024789592484160895,0.42023292333977214,-850.0,-550.0
decay,fixed,-9,-6,20_0,8,1699,0.0003951726900536203,0.008375317056525718,-850.0,-550.0
decay,fixed,-9,-6,b90,816,1699,0.11749478713946654,1.5700901880561475,-850.0,-550.0
decay,fixed,-9,-6,b95,516,1699,0.06005017179453465,0.8609001754823477,-850.0,-550.0
decay,fixed,-9,-6,b99,272,1699,0.021986995421165844,0.33786310312809065,-850.0,-550.0
decay,fixed,-9,-6,q90,477,1699,0.07546365954778449,1.0642064631377146,-850.0,-550.0
decay,fixed,-9,-6,q95,272,1699,0.03745368361862566,0.5585185805491772,-850.0,-550.0
decay,fixed,-9,-6,q99,58,1699,0.006704170156231211,0.1121075941883308,-850.0,-550.0
decay,fixed,-9,-5,15_6,196,1699,0.023544276209704524,0.3973666241682695,-850.0,-450.0
decay,fixed,-9,-5,20_0,10,1699,0.0004463501085094142,0.00950787720408368,-850.0,-450.0
